firm,region,category,contact_method,contact,email_or_url,source_url,status,notes
Paradigm,US,Web3 VC,email,General inquiries,info@paradigm.xyz,https://www.paradigm.xyz/contact,sent,Sent with pitch deck attached
Multicoin Capital,US,Web3 VC,email,Project/company pitches,hello@multicoin.capital,https://multicoin.capital/contact/,sent,Sent with pitch deck attached
Framework Ventures,US,Web3 VC,email,Founder submissions,Hello@framework.ventures,https://framework.ventures/contact,sent,Sent with pitch deck attached
Chapter One,US,Web3/crypto VC,email,Founder submissions,HI@CHAPTERONE.COM,https://www.chapterone.com/contact,sent,Sent with pitch deck attached
Variant,US,Web3 VC,email,Founder submissions,info@variant.fund,https://variant.fund/contact/,sent,Sent with pitch deck attached
Maven 11,Europe/Global,Web3 VC,form,Investment in blockchain venture,https://maven11.com/contact,https://maven11.com/contact,pending_form,Official contact form has category for investment in blockchain venture
IOSG Ventures,Global,Web3 VC,email protected,Pitch investment,[email protected],https://iosg.vc/,pending_verify,Official page asks founders to email pitch deck/white paper but address is Cloudflare-protected in extracted page
a16z crypto,US,Web3 VC,form,Founder/startup submission,https://a16zcrypto.com/contact/,https://a16zcrypto.com/contact/,pending_form,Official contact form needs manual/browser submission
Dragonfly,US/Global,Web3 VC,form/contact page,Contact page,https://www.dragonfly.xyz/contact,https://www.dragonfly.xyz/contact,pending_form,No verified pitch email found yet
Coinbase Ventures,US,Web3 VC,contact page,Website/contact route,https://www.coinbase.com/ventures,https://www.coinbase.com/ventures,pending_verify,Need verified pitch route before sending
Pantera Capital,US,Digital asset fund,email,Pitch submissions,pitch@panteracapital.com,https://panteracapital.com/contact/,sent,Sent without attachment; demo link included
Blockchain Capital,US,Web3 VC,contact page,Website/contact route,https://blockchain.capital,https://blockchain.capital,pending_verify,Need verified public email or pitch form
Electric Capital,US,Web3 VC,email,Builder contact,info@electriccapital.com,https://www.electriccapital.com,sent,Sent with pitch deck attached
Polychain Capital,US,Web3 investment firm,contact page,Website/contact route,https://polychain.capital,https://polychain.capital,pending_verify,Need verified public email or pitch form
Digital Currency Group,US,Digital asset investor,contact page,Website/contact route,https://dcg.co,https://dcg.co,pending_verify,Need verified public email or pitch form
Microtraction,Nigeria/Africa,African early-stage investor,email/form,email and application route,team@microtraction.com / https://microtraction.typeform.com/to/XxhWNJ,https://www.microtraction.com,sent,Sent without attachment; official funding form still recommended as follow-up
Nubia Capital,Nigeria/Africa,African VC,email,General support contact,support@nubiacapital.vc,https://nubiacapital.vc,sent,Sent without attachment; demo link included
CcHUB / Growth Capital,Nigeria/Africa,African accelerator/investor,email,General contact,info@cchub.africa,https://cchub.africa,sent,Sent without attachment; demo link included
Future Africa,Nigeria/Africa,African early-stage investor,email,General contact,hello@future.africa,https://www.future.africa,sent,Sent without attachment; demo link included
Launch Africa Ventures,Africa,African early-stage investor,email,General contact,info@launchafrica.vc,https://www.launchafrica.vc,sent,Sent without attachment; demo link included
Robot Ventures,US,Web3 VC,contact page,Website/contact route,https://robotventures.com,https://robotventures.com,pending_verify,Candidate Web3 fund; verify public pitch route before sending
Hack VC,US,Web3 VC,email,General contact,contact@hack.vc,https://www.hack.vc,sent,Sent without attachment after attachment upload failure; demo link included
Union Square Ventures,US,Crypto-active VC,email,General contact,info@usv.com,https://www.usv.com,sent,Sent with pitch deck attached
Alliance DAO,Global,Web3 accelerator/investor,application,Application route,https://alliance.xyz,https://alliance.xyz,pending_form,Candidate accelerator; likely application workflow
Outlier Ventures,Global,Web3 accelerator/investor,application,Accelerator application,https://outlierventures.io,https://outlierventures.io,pending_form,Candidate accelerator; likely application workflow
CoinFund,US,Web3 VC,email,General contact,hello@coinfund.io,https://www.coinfund.io,sent,Sent with pitch deck attached
6th Man Ventures,US,Web3 VC,email,General contact,info@6thman.ventures,https://6thman.ventures,sent,Sent without attachment after attachment upload failure; demo link included
Delphi Ventures,Global,Web3 VC,email,General support contact,support@delphidigital.io,https://www.delphidigital.io,sent,Sent without attachment; demo link included
SevenX Ventures,Asia/Global,Web3 VC,contact page,Website/contact route,https://sevenx.ventures,https://sevenx.ventures,pending_verify,Candidate Web3 fund; verify public pitch route before sending
Shima Capital,US/Global,Web3 VC,contact page,Website/contact route,https://shima.capital,https://shima.capital,pending_verify,Candidate Web3 fund; verify public pitch route before sending
Superscrypt,Asia/Global,Web3 VC,contact page,Website/contact route,https://www.superscrypt.xyz,https://www.superscrypt.xyz,pending_verify,Candidate Web3 fund; verify public pitch route before sending
Foresight Ventures,Asia/Global,Web3 VC,contact page,Website/contact route,https://www.foresightventures.com,https://www.foresightventures.com,pending_verify,Candidate Web3 fund; verify public pitch route before sending
